name,overs,maidens,runs,wickets,economy,0s,4s,6s,wides,no-balls,bpo,balls,team,inns,pos,start date,ground,grnd_ctry
Glenn McGrath,32,8,107,2,3.34,-,-,-,0,7,6,192,Australia,2,1,5/06/1997,Birmingham,England
Shane Warne,35,8,110,1,3.14,-,-,-,0,1,6,210,Australia,2,4,5/06/1997,Birmingham,England
Glenn McGrath,7,1,42,0,6,-,-,-,0,0,6,42,Australia,4,1,5/06/1997,Birmingham,England
Shane Warne,7.3,0,27,0,3.6,-,-,-,0,0,6,45,Australia,4,3,5/06/1997,Birmingham,England
Glenn McGrath,20.3,8,38,8,1.85,-,-,-,0,0,6,123,Australia,1,1,19/06/1997,Lord's,England
Shane Warne,2,0,9,0,4.5,-,-,-,0,0,6,12,Australia,1,4,19/06/1997,Lord's,England
Glenn McGrath,20,5,65,1,3.25,-,-,-,0,2,6,120,Australia,3,1,19/06/1997,Lord's,England
Shane Warne,19,4,47,2,2.47,-,-,-,1,0,6,114,Australia,3,4,19/06/1997,Lord's,England
Glenn McGrath,23.4,9,40,3,1.69,-,-,-,0,0,6,142,Australia,2,1,3/07/1997,Manchester,England
Shane Warne,30,14,48,6,1.6,-,-,-,0,0,6,180,Australia,2,3,3/07/1997,Manchester,England
Glenn McGrath,21,4,46,4,2.19,-,-,-,0,0,6,126,Australia,4,1,3/07/1997,Manchester,England
Shane Warne,30.4,8,63,3,2.05,-,-,-,0,1,6,184,Australia,4,4,3/07/1997,Manchester,England
Glenn McGrath,22,5,67,2,3.04,-,-,-,1,3,6,132,Australia,1,1,24/07/1997,Leeds,England
Shane Warne,1,0,2,0,2,-,-,-,0,0,6,6,Australia,1,5,24/07/1997,Leeds,England
Glenn McGrath,22,5,80,2,3.63,-,-,-,0,2,6,132,Australia,3,1,24/07/1997,Leeds,England
Shane Warne,21,6,53,1,2.52,-,-,-,0,2,6,126,Australia,3,4,24/07/1997,Leeds,England
Glenn McGrath,29.5,9,71,4,2.37,-,-,-,0,0,6,179,Australia,2,1,7/08/1997,Nottingham,England
Shane Warne,32,8,86,4,2.68,-,-,-,0,1,6,192,Australia,2,4,7/08/1997,Nottingham,England
Glenn McGrath,13.5,4,36,3,2.6,-,-,-,0,1,6,83,Australia,4,1,7/08/1997,Nottingham,England
Shane Warne,16,4,43,3,2.68,-,-,-,0,1,6,96,Australia,4,4,7/08/1997,Nottingham,England
Glenn McGrath,21,4,76,7,3.61,-,-,-,0,4,6,126,Australia,1,1,21/08/1997,The Oval,England
Shane Warne,17,8,32,2,1.88,-,-,-,0,1,6,102,Australia,1,3,21/08/1997,The Oval,England
Glenn McGrath,17,5,33,0,1.94,-,-,-,0,0,6,102,Australia,3,1,21/08/1997,The Oval,England
Shane Warne,26,9,57,2,2.19,-,-,-,0,2,6,156,Australia,3,3,21/08/1997,The Oval,England
Glenn McGrath,34.2,11,85,6,2.47,-,-,-,0,3,6,206,Australia,2,1,20/11/1998,Brisbane,Australia
Glenn McGrath,16,6,30,1,1.87,-,-,-,0,0,6,96,Australia,4,1,20/11/1998,Brisbane,Australia
Glenn McGrath,16,4,37,3,2.31,-,-,-,1,0,6,96,Australia,1,1,28/11/1998,Perth,Australia
Glenn McGrath,26,10,47,0,1.8,-,-,-,0,1,6,156,Australia,3,1,28/11/1998,Perth,Australia
Glenn McGrath,18,4,48,2,2.66,-,-,-,1,5,6,108,Australia,2,1,11/12/1998,Adelaide,Australia
Glenn McGrath,17,0,50,4,2.94,-,-,-,0,11,6,102,Australia,4,1,11/12/1998,Adelaide,Australia
Glenn McGrath,22,5,64,3,2.9,-,-,-,0,5,6,132,Australia,1,1,26/12/1998,Melbourne,Australia
Glenn McGrath,20.2,5,56,2,2.75,-,-,-,0,6,6,122,Australia,3,1,26/12/1998,Melbourne,Australia
Glenn McGrath,17,7,35,2,2.05,-,-,-,0,3,6,102,Australia,2,1,2/01/1999,Sydney,Australia
Shane Warne,20,4,67,1,3.35,-,-,-,0,1,6,120,Australia,2,4,2/01/1999,Sydney,Australia
Glenn McGrath,10,0,40,1,4,-,-,-,0,3,6,60,Australia,4,1,2/01/1999,Sydney,Australia
Shane Warne,19,3,43,1,2.26,-,-,-,0,0,6,114,Australia,4,4,2/01/1999,Sydney,Australia
Glenn McGrath,17.3,2,67,3,3.82,74,6,0,0,3,6,105,Australia,1,1,5/07/2001,Birmingham,England
Shane Warne,19,4,71,5,3.73,82,9,1,0,2,6,114,Australia,1,4,5/07/2001,Birmingham,England
Glenn McGrath,13,5,34,1,2.61,67,4,1,0,5,6,78,Australia,3,1,5/07/2001,Birmingham,England
Shane Warne,10.1,4,29,3,2.85,49,4,0,0,1,6,61,Australia,3,3,5/07/2001,Birmingham,England
Glenn McGrath,24,9,54,5,2.25,124,6,1,0,0,6,144,Australia,1,1,19/07/2001,Lord's,England
Shane Warne,5.3,0,16,2,2.9,26,2,0,1,0,6,33,Australia,1,4,19/07/2001,Lord's,England
Glenn McGrath,19,4,60,3,3.15,90,8,0,0,0,6,114,Australia,3,1,19/07/2001,Lord's,England
Shane Warne,20,4,58,1,2.9,95,6,0,1,3,6,120,Australia,3,4,19/07/2001,Lord's,England
Glenn McGrath,18,4,49,5,2.72,87,7,0,0,0,6,108,Australia,1,1,2/08/2001,Nottingham,England
Shane Warne,16,4,37,2,2.31,81,5,0,0,2,6,96,Australia,1,4,2/08/2001,Nottingham,England
Glenn McGrath,11,3,31,0,2.81,53,2,0,0,0,6,66,Australia,3,1,2/08/2001,Nottingham,England
Shane Warne,18,5,33,6,1.83,88,3,0,0,0,6,108,Australia,3,4,2/08/2001,Nottingham,England
Glenn McGrath,30.2,9,76,7,2.5,147,8,1,0,0,6,182,Australia,2,1,16/08/2001,Leeds,England
Shane Warne,16,2,49,0,3.06,69,5,0,0,1,6,96,Australia,2,4,16/08/2001,Leeds,England
Glenn McGrath,16,3,61,1,3.81,70,8,0,0,0,6,96,Australia,4,1,16/08/2001,Leeds,England
Shane Warne,18.2,3,58,1,3.16,80,5,0,0,0,6,110,Australia,4,3,16/08/2001,Leeds,England
Glenn McGrath,30,11,67,2,2.23,148,9,0,0,0,6,180,Australia,2,1,23/08/2001,The Oval,England
Shane Warne,44.2,7,165,7,3.72,198,26,0,0,1,6,266,Australia,2,3,23/08/2001,The Oval,England
Glenn McGrath,15.3,6,43,5,2.77,77,6,0,0,1,6,93,Australia,3,2,23/08/2001,The Oval,England
Shane Warne,28,8,64,4,2.28,137,7,0,0,1,6,168,Australia,3,3,23/08/2001,The Oval,England
Glenn McGrath,30,9,87,4,2.9,142,10,0,0,1,6,180,Australia,2,1,7/11/2002,Brisbane,Australia
Shane Warne,26.5,4,87,1,3.24,119,11,1,0,0,6,161,Australia,2,4,7/11/2002,Brisbane,Australia
Glenn McGrath,12,3,36,4,3,60,5,0,0,2,6,72,Australia,4,1,7/11/2002,Brisbane,Australia
Shane Warne,10.2,3,29,3,2.8,51,4,0,0,2,6,62,Australia,4,3,7/11/2002,Brisbane,Australia
Glenn McGrath,30,11,77,1,2.56,145,8,0,0,2,6,180,Australia,1,1,21/11/2002,Adelaide,Australia
Shane Warne,34,10,93,4,2.73,165,12,1,0,2,6,204,Australia,1,4,21/11/2002,Adelaide,Australia
Glenn McGrath,17.2,6,41,4,2.36,91,5,1,0,4,6,104,Australia,3,1,21/11/2002,Adelaide,Australia
Shane Warne,25,7,36,3,1.44,128,1,0,0,4,6,150,Australia,3,3,21/11/2002,Adelaide,Australia
Glenn McGrath,17,5,30,2,1.76,88,1,0,0,2,6,102,Australia,1,1,29/11/2002,Perth,Australia
Shane Warne,9,0,32,1,3.55,41,4,1,0,0,6,54,Australia,1,4,29/11/2002,Perth,Australia
Glenn McGrath,21,9,24,2,1.14,113,1,0,0,3,6,126,Australia,3,2,29/11/2002,Perth,Australia
Shane Warne,26,5,70,2,2.69,117,9,0,0,0,6,156,Australia,3,4,29/11/2002,Perth,Australia
