name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Alastair Cook,caught,7,13,16,1,0,53.84,England,3,1,2017-11-23,Brisbane,Australia
Steven Smith,bowled,40,90,119,3,0,44.44,Australia,1,4,2017-12-02,Adelaide,Australia
Alastair Cook,caught,37,90,128,3,0,41.11,England,2,1,2017-12-02,Adelaide,Australia
Steven Smith,lbw,6,12,25,1,0,50.0,Australia,3,4,2017-12-02,Adelaide,Australia
Alastair Cook,lbw,16,66,85,2,0,24.24,England,4,1,2017-12-02,Adelaide,Australia
Alastair Cook,lbw,7,16,22,1,0,43.75,England,1,1,2017-12-14,Perth,Australia
Steven Smith,lbw,239,399,578,30,1,59.89,Australia,2,4,2017-12-14,Perth,Australia
Alastair Cook,caught,14,20,35,2,0,70.0,England,3,1,2017-12-14,Perth,Australia
Steven Smith,bowled,76,156,211,8,0,48.71,Australia,1,4,2017-12-26,Melbourne,Australia
Alastair Cook,not out,244,409,634,27,0,59.65,England,2,1,2017-12-26,Melbourne,Australia
Steven Smith,not out,102,275,438,6,0,37.09,Australia,3,4,2017-12-26,Melbourne,Australia
Alastair Cook,lbw,39,104,143,3,0,37.5,England,1,1,2018-01-04,Sydney,Australia
Steven Smith,caught,83,158,254,5,0,52.53,Australia,2,4,2018-01-04,Sydney,Australia
Alastair Cook,bowled,10,20,29,0,0,50.0,England,3,1,2018-01-04,Sydney,Australia
Steven Smith,bowled,144,219,336,16,2,65.75,Australia,1,4,2019-08-01,Birmingham,England
Steven Smith,caught,142,207,326,14,0,68.59,Australia,3,4,2019-08-01,Birmingham,England
Steven Smith,lbw,92,161,264,14,0,57.14,Australia,2,4,2019-08-14,Lord's,England
Steven Smith,caught,211,319,513,24,2,66.14,Australia,1,4,2019-09-04,Manchester,England
Steven Smith,caught,82,92,155,11,0,89.13,Australia,3,4,2019-09-04,Manchester,England
Steven Smith,lbw,80,145,261,9,1,55.17,Australia,2,4,2019-09-12,The Oval,England
Steven Smith,caught,23,53,88,4,0,43.39,Australia,4,4,2019-09-12,The Oval,England
Steven Smith,caught,12,19,30,2,0,63.15,Australia,2,4,2021-12-08,Brisbane,Australia
Steven Smith,lbw,93,201,327,12,1,46.26,Australia,1,4,2021-12-16,Adelaide,Australia
Steven Smith,caught,6,31,43,1,0,19.35,Australia,3,5,2021-12-16,Adelaide,Australia
Steven Smith,bowled,16,31,50,1,0,51.61,Australia,2,5,2021-12-26,Melbourne,Australia
Steven Smith,caught,67,141,192,5,0,47.51,Australia,1,4,2022-01-05,Sydney,Australia
Steven Smith,bowled,23,31,53,2,1,74.19,Australia,3,4,2022-01-05,Sydney,Australia
Steven Smith,caught,0,2,5,0,0,0.0,Australia,1,4,2022-01-14,Hobart,Australia
Steven Smith,caught,27,62,115,4,0,43.54,Australia,3,4,2022-01-14,Hobart,Australia
Steven Smith,lbw,16,59,69,0,0,27.11,Australia,2,4,2023-06-16,Birmingham,England
Steven Smith,caught,6,13,19,1,0,46.15,Australia,4,4,2023-06-16,Birmingham,England
Steven Smith,caught,110,184,317,15,0,59.78,Australia,1,4,2023-06-28,Lord's,England
Steven Smith,caught,34,62,106,5,0,54.83,Australia,3,4,2023-06-28,Lord's,England
Steven Smith,caught,22,31,52,1,1,70.96,Australia,1,4,2023-07-06,Leeds,England
Steven Smith,caught,2,9,13,0,0,22.22,Australia,3,4,2023-07-06,Leeds,England
Steven Smith,lbw,41,52,65,5,1,78.84,Australia,1,4,2023-07-19,Manchester,England
Steven Smith,caught,17,38,70,1,0,44.73,Australia,3,4,2023-07-19,Manchester,England
Steven Smith,caught,71,123,225,6,0,57.72,Australia,2,4,2023-07-27,The Oval,England
Steven Smith,caught,54,94,142,9,0,57.44,Australia,4,4,2023-07-27,The Oval,England
