name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Steve Waugh,caught,14,25,59,2,0,56.0,Australia,3,5,1997-08-07,Nottingham,England
Steve Waugh,lbw,22,34,51,2,0,64.7,Australia,2,5,1997-08-21,The Oval,England
Steve Waugh,caught,6,19,20,0,0,31.57,Australia,4,5,1997-08-21,The Oval,England
Steve Waugh,caught,112,232,330,13,0,48.27,Australia,1,5,1998-11-20,Brisbane,Australia
Steve Waugh,not out,16,31,51,0,0,51.61,Australia,3,5,1998-11-20,Brisbane,Australia
Steve Waugh,bowled,33,61,78,6,0,54.09,Australia,2,6,1998-11-28,Perth,Australia
Steve Waugh,not out,15,29,35,2,0,51.72,Australia,4,5,1998-11-28,Perth,Australia
Steve Waugh,caught,59,109,148,4,1,54.12,Australia,1,5,1998-12-11,Adelaide,Australia
Steve Waugh,caught,7,22,21,0,0,31.81,Australia,3,5,1998-12-11,Adelaide,Australia
Steve Waugh,not out,122,198,315,13,0,61.61,Australia,2,5,1998-12-26,Melbourne,Australia
Steve Waugh,not out,30,49,108,2,0,61.22,Australia,4,5,1998-12-26,Melbourne,Australia
Steve Waugh,bowled,96,171,202,9,0,56.14,Australia,1,5,1999-01-02,Sydney,Australia
Steve Waugh,bowled,8,28,38,1,0,28.57,Australia,3,7,1999-01-02,Sydney,Australia
Steve Waugh,lbw,105,181,244,13,0,58.01,Australia,2,5,2001-07-05,Birmingham,England
Steve Waugh,caught,45,97,146,7,0,46.39,Australia,2,5,2001-07-19,Lord's,England
Steve Waugh,caught,13,30,38,2,0,43.33,Australia,2,5,2001-08-02,Nottingham,England
Steve Waugh,retired notout,1,1,1,0,0,100.0,Australia,4,5,2001-08-02,Nottingham,England
Steve Waugh,not out,157,256,312,21,1,61.32,Australia,1,5,2001-08-23,The Oval,England
Steve Waugh,caught,7,37,71,0,0,18.91,Australia,1,5,2002-11-07,Brisbane,Australia
Steve Waugh,caught,12,42,38,0,0,28.57,Australia,3,6,2002-11-07,Brisbane,Australia
Steve Waugh,caught,34,40,71,2,0,85.0,Australia,2,5,2002-11-21,Adelaide,Australia
Steve Waugh,bowled,53,89,128,10,0,59.55,Australia,2,6,2002-11-29,Perth,Australia
Steve Waugh,caught,77,117,159,15,0,65.81,Australia,1,5,2002-12-26,Melbourne,Australia
Steve Waugh,caught,14,25,30,2,0,56.0,Australia,4,5,2002-12-26,Melbourne,Australia
Steve Waugh,caught,102,135,182,18,0,75.55,Australia,2,5,2003-01-02,Sydney,Australia
Steve Waugh,bowled,6,11,16,1,0,54.54,Australia,4,6,2003-01-02,Sydney,Australia
Alastair Cook,caught,11,15,27,1,0,73.33,England,2,2,2006-11-23,Brisbane,Australia
Alastair Cook,caught,43,94,128,4,0,45.74,England,4,2,2006-11-23,Brisbane,Australia
Alastair Cook,caught,27,57,90,2,0,47.36,England,1,2,2006-12-01,Adelaide,Australia
Alastair Cook,caught,9,35,48,1,0,25.71,England,3,2,2006-12-01,Adelaide,Australia
Alastair Cook,caught,15,15,26,2,0,100.0,England,2,2,2006-12-14,Perth,Australia
Alastair Cook,caught,116,290,389,9,0,40.0,England,4,2,2006-12-14,Perth,Australia
Alastair Cook,caught,11,37,49,1,0,29.72,England,1,2,2006-12-26,Melbourne,Australia
Alastair Cook,bowled,20,46,64,1,0,43.47,England,3,2,2006-12-26,Melbourne,Australia
Alastair Cook,caught,20,47,88,2,0,42.55,England,1,2,2007-01-02,Sydney,Australia
Alastair Cook,caught,4,8,11,1,0,50.0,England,3,2,2007-01-02,Sydney,Australia
